,year,state,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Gender
242,1984,Pennsylvania,Jennifer,Jessica,Ashley,Amanda,Nicole,girl
243,1984,Rhode Island,Jennifer,Jessica,Nicole,Amanda,Stephanie,girl
244,1984,South Carolina,Ashley,Jessica,Jennifer,Amanda,Crystal,girl
245,1984,South Dakota,Jessica,Jennifer,Ashley,Amanda,Heather,girl
246,1984,Tennessee,Ashley,Jessica,Jennifer,Amanda,Heather,girl
247,1984,Texas,Jennifer,Jessica,Ashley,Amanda,Stephanie,girl
248,1984,Utah,Jennifer,Jessica,Ashley,Megan,Amanda,girl
249,1984,Vermont,Jennifer,Ashley,Jessica,Amanda,Sarah,girl
250,1984,Virginia,Jessica,Jennifer,Ashley,Amanda,Sarah,girl
251,1984,Washington,Jennifer,Jessica,Amanda,Sarah,Ashley,girl
252,1984,West Virginia,Jessica,Ashley,Amanda,Jennifer,Sarah,girl
253,1984,Wisconsin,Jennifer,Amanda,Jessica,Ashley,Nicole,girl
254,1984,Wyoming,Jennifer,Jessica,Amanda,Ashley,Sarah,girl
255,1985,Alabama,Ashley,Jessica,Jennifer,Amanda,Kimberly,girl
256,1985,Alaska,Jessica,Jennifer,Amanda,Sarah,Ashley,girl
257,1985,Arizona,Jessica,Ashley,Jennifer,Amanda,Stephanie,girl
258,1985,Arkansas,Ashley,Jessica,Amanda,Jennifer,Sarah,girl
259,1985,California,Jessica,Jennifer,Ashley,Amanda,Nicole,girl
260,1985,Colorado,Jessica,Amanda,Jennifer,Ashley,Sarah,girl
261,1985,Connecticut,Jessica,Jennifer,Ashley,Nicole,Amanda,girl
262,1985,Delaware,Jessica,Jennifer,Ashley,Amanda,Lauren,girl
263,1985,Dist. of Columbia,Ashley,Jessica,Jennifer,Elizabeth,Lauren,girl
264,1985,Florida,Jessica,Ashley,Jennifer,Amanda,Stephanie,girl
265,1985,Georgia,Ashley,Jessica,Amanda,Jennifer,Brittany,girl
266,1985,Hawaii,Ashley,Jennifer,Jessica,Nicole,Tiffany,girl
267,1985,Idaho,Jessica,Amanda,Jennifer,Ashley,Sarah,girl
268,1985,Illinois,Jennifer,Ashley,Jessica,Amanda,Nicole,girl
269,1985,Indiana,Ashley,Amanda,Jessica,Jennifer,Sarah,girl
270,1985,Iowa,Ashley,Amanda,Jessica,Jennifer,Megan,girl
271,1985,Kansas,Ashley,Jessica,Amanda,Jennifer,Megan,girl
